t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T04:53:50.987502+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,56,44,45,,,0,0,0,0,0,0,0,0,1206369
2026-02-04T04:53:56.227889+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206363
2026-02-04T04:54:01.477170+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,57,58,42,43,,,0,0,0,0,0,0,0,0,1206358
2026-02-04T04:54:06.698323+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,57,58,42,43,,,0,0,0,0,0,0,0,0,1206353
2026-02-04T04:54:11.949808+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206348
2026-02-04T04:54:17.171106+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206343
2026-02-04T04:54:22.430333+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206337
2026-02-04T04:54:27.619643+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,52,54,46,48,,,0,0,0,0,0,0,0,0,1206332
2026-02-04T04:54:32.888679+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,54,46,47,,,0,0,0,0,0,0,0,0,1206327
2026-02-04T04:54:38.102486+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,54,46,47,,,0,0,0,0,0,0,0,0,1206322
2026-02-04T04:54:43.338142+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,55,45,47,,,0,0,0,0,0,0,0,0,1206316
2026-02-04T04:54:48.665110+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,54,46,47,,,0,0,0,0,0,0,0,0,1206311
2026-02-04T04:54:54.088003+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,53,47,49,,,0,0,0,0,0,0,0,0,1206306
2026-02-04T04:54:59.285666+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206300
2026-02-04T04:55:04.517222+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206295
2026-02-04T04:55:09.756918+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206290
2026-02-04T04:55:15.004033+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206285
2026-02-04T04:55:20.213261+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206279
2026-02-04T04:55:25.436073+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,51,52,48,49,,,0,0,0,0,0,0,0,0,1206274
2026-02-04T04:55:30.644391+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206269
2026-02-04T04:55:35.940183+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206264
2026-02-04T04:55:41.183996+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206259
2026-02-04T04:55:46.438486+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206253
2026-02-04T04:55:51.705832+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,49,51,49,51,,,0,0,0,0,0,0,0,0,1206248
2026-02-04T04:55:56.991428+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206243
2026-02-04T04:56:02.603563+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206238
2026-02-04T04:56:07.808298+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,54,46,50,,,0,0,0,0,0,0,0,0,1206232
2026-02-04T04:56:13.083357+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206227
2026-02-04T04:56:18.418713+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206221
2026-02-04T04:56:23.690139+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206216
2026-02-04T04:56:28.954807+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206211
2026-02-04T04:56:34.186007+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206206
2026-02-04T04:56:39.430544+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206200
2026-02-04T04:56:44.683878+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206195
2026-02-04T04:56:49.895501+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206190
2026-02-04T04:56:55.856687+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206185
2026-02-04T04:57:01.132765+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206179
2026-02-04T04:57:06.358534+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206173
2026-02-04T04:57:11.574680+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,52,48,50,,,0,0,0,0,0,0,0,0,1206168
2026-02-04T04:57:16.878940+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206163
2026-02-04T04:57:22.097626+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206158
2026-02-04T04:57:27.331216+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206152
2026-02-04T04:57:32.587520+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,50,51,49,50,,,0,0,0,0,0,0,0,0,1206147
