t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T04:40:12.683405+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,,,0,0,0,0,0,0,0,0,1207187
2026-02-04T04:40:19.361543+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207180
2026-02-04T04:40:25.573519+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207174
2026-02-04T04:40:31.815717+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207168
2026-02-04T04:40:38.047048+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207162
2026-02-04T04:40:44.351535+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1207155
2026-02-04T04:40:50.557942+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207149
2026-02-04T04:40:56.764138+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207143
2026-02-04T04:41:03.009363+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1207137
2026-02-04T04:41:09.218661+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207130
2026-02-04T04:41:15.600155+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1207124
2026-02-04T04:41:21.837743+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,41,59,61,yes,41,1,0,0,0,-2,-2,0,0,1207118
2026-02-04T04:41:28.109012+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,39,40,60,61,yes,41,1,0,0,0,-2,-2,0,0,1207112
2026-02-04T04:41:34.304603+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207105
2026-02-04T04:41:40.558100+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,39,61,62,yes,41,1,0,0,0,-3,-3,0,0,1207099
2026-02-04T04:41:46.853079+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207093
2026-02-04T04:41:53.070705+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207087
2026-02-04T04:41:59.399159+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207080
2026-02-04T04:42:05.609769+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207074
2026-02-04T04:42:11.785784+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207068
2026-02-04T04:42:17.979458+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,38,40,60,62,yes,41,1,0,0,0,-3,-3,0,0,1207062
2026-02-04T04:42:24.230668+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207056
2026-02-04T04:42:30.465024+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207049
2026-02-04T04:42:36.662069+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207043
2026-02-04T04:42:43.054125+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207037
2026-02-04T04:42:49.458839+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207030
2026-02-04T04:42:55.656266+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207024
2026-02-04T04:43:01.912558+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207018
2026-02-04T04:43:08.147155+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207012
2026-02-04T04:43:14.396403+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1207005
2026-02-04T04:43:20.639287+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,40,41,59,60,yes,41,1,0,0,0,-1,-1,0,0,1206999
2026-02-04T04:43:26.907348+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,36,37,63,64,yes,41,1,0,0,0,-5,-5,0,0,1206993
2026-02-04T04:43:33.185585+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,34,36,64,66,yes,41,1,0,0,0,-7,-7,0,0,1206987
2026-02-04T04:43:39.411574+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,34,36,64,66,yes,41,1,0,0,0,-7,-7,0,0,1206980
2026-02-04T04:43:45.703322+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,34,36,64,66,yes,41,1,0,0,0,-7,-7,0,0,1206974
2026-02-04T04:43:51.974510+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,35,36,64,65,yes,41,1,0,0,0,-6,-6,0,0,1206968
2026-02-04T04:43:58.224346+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,35,36,64,65,yes,41,1,0,0,0,-6,-6,0,0,1206962
2026-02-04T04:44:04.442102+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,37,38,62,63,yes,41,1,0,0,0,-4,-4,0,0,1206955
2026-02-04T04:44:10.714739+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,36,38,62,64,yes,41,1,0,0,0,-5,-5,0,0,1206949
2026-02-04T04:44:16.971103+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,33,35,65,67,yes,41,1,0,0,0,-8,-8,0,0,1206943
