timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:09:08.442151+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,39,1300,1300,39,True,
2026-02-07T01:09:08.999071+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:09:09.393686+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:09:09.803253+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,44,46,54,56,2,45.0,11,117,117,11,True,
2026-02-07T01:09:10.192613+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,33,37,63,67,4,35.0,1500,139,139,1500,True,
2026-02-07T01:09:10.630089+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,103,1300,1300,103,True,
2026-02-07T01:09:11.059237+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:09:12.050507+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1539,1300,1300,1539,True,
2026-02-07T01:09:12.458189+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,29,71,77,6,26.0,188,1300,1300,188,True,
2026-02-07T01:09:12.871559+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,200,1300,1300,200,True,
2026-02-07T01:10:32.641669+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,39,1300,1300,39,True,
2026-02-07T01:10:33.103025+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:10:33.497483+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:10:33.943967+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,44,46,54,56,2,45.0,11,117,117,11,True,
2026-02-07T01:10:34.479032+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,30,37,63,70,7,33.5,1300,639,639,1300,True,
2026-02-07T01:10:34.942187+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,103,1300,1300,103,True,
2026-02-07T01:10:35.389515+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:10:35.851734+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1539,1300,1300,1539,True,
