timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:09:27.142783+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,3,26,74,97,23,14.5,50,16961,16961,50,True,
2026-02-07T01:09:27.569472+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,19,38,62,81,19,28.5,1961,1961,1961,1961,True,
2026-02-07T01:09:28.027180+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,9,21,79,91,12,15.0,423,26,26,423,True,
2026-02-07T01:09:28.460332+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,36,64,97,33,19.5,50,6,6,50,True,
2026-02-07T01:09:29.354526+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,14,29,71,86,15,21.5,800,1961,1961,800,True,
2026-02-07T01:09:30.235548+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,10,21,79,90,11,15.5,178,1961,1961,178,True,
2026-02-07T01:09:30.831579+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,12,88,97,9,7.5,734,178,178,734,True,
2026-02-07T01:09:31.243271+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,51,58,42,49,7,54.5,8,62,62,8,True,
2026-02-07T01:09:31.640606+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,33,49,51,67,16,41.0,684,1961,1961,684,True,
2026-02-07T01:09:32.104195+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,27,39,61,73,12,33.0,291,1961,1961,291,True,
2026-02-07T01:10:49.552580+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,3,10,90,97,7,6.5,50,139,139,50,True,
2026-02-07T01:10:50.010488+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,20,28,72,80,8,24.0,1535,139,139,1535,True,
2026-02-07T01:10:50.497046+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,11,20,80,89,9,15.5,1535,169,169,1535,True,
2026-02-07T01:10:51.041118+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,5,12,88,95,7,8.5,139,10,10,139,True,
2026-02-07T01:10:51.559389+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,18,25,75,82,7,21.5,140,139,139,140,True,
2026-02-07T01:10:52.790327+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,10,17,83,90,7,13.5,140,139,139,140,True,
2026-02-07T01:10:53.244455+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,12,88,97,9,7.5,1523,905,905,1523,True,
2026-02-07T01:10:53.807014+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,51,56,44,49,5,53.5,72,139,139,72,True,
2026-02-07T01:10:54.487023+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,38,40,60,62,2,39.0,411,400,400,411,True,
2026-02-07T01:10:55.175374+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,28,30,70,72,2,29.0,200,400,400,200,True,
2026-02-07T01:12:13.156874+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,3,10,90,97,7,6.5,50,144,144,50,True,
2026-02-07T01:12:13.578612+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,24,30,70,76,6,27.0,344,144,144,344,True,
2026-02-07T01:12:14.040192+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,12,19,81,88,7,15.5,144,144,144,144,True,
2026-02-07T01:12:14.455881+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,6,12,88,94,6,9.0,144,154,154,144,True,
2026-02-07T01:12:14.878311+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,13,21,79,87,8,17.0,1589,144,144,1589,True,
2026-02-07T01:12:15.313599+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,8,15,85,92,7,11.5,144,144,144,144,True,
2026-02-07T01:12:15.827614+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,10,90,97,7,6.5,190,144,144,190,True,
2026-02-07T01:12:16.292462+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,50,53,47,50,3,51.5,239,800,800,239,True,
2026-02-07T01:12:16.686688+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,36,39,61,64,3,37.5,344,800,800,344,True,
